NO,Polygon Points
1,"(2655.654, 2167.065); (2568.793, 2129.432); (2574.883, 2106.941); (2593.021, 2075.858); (2638.953, 2076.965); (2690.479, 2080.584); (2693.299, 2082.332); (2698.303, 2103.230); (2694.054, 2138.375); (2692.251, 2143.873); (2687.614, 2150.165); (2664.898, 2162.493)"
2,"(7177.023, 2188.520); (7177.174, 2168.405); (7192.678, 2163.679); (7199.859, 2162.873); (7228.078, 2162.863); (7238.359, 2173.427); (7238.402, 2185.105); (7234.469, 2189.887); (7227.534, 2191.748); (7196.787, 2198.910)"
3,"(6953.065, 3043.666); (6958.718, 3037.573); (6987.848, 3018.739); (7016.107, 3029.265); (7032.840, 3037.718); (7024.165, 3049.397); (7010.298, 3059.626); (6982.720, 3062.635); (6974.074, 3060.684); (6956.909, 3049.713)"
4,"(1004.049, 2066.270); (1008.052, 2134.048); (1008.214, 2225.917); (1008.318, 2965.937); (1007.991, 3010.022); (1007.174, 3044.250); (982.607, 3057.240); (838.927, 3062.037); (522.307, 3063.418); (476.245, 3063.287); (9.374, 2986.836); (9.393, 2985.416); (11.445, 2832.889); (11.509, 2828.198); (11.638, 2818.592); (11.682, 2815.318); (13.853, 2654.041); (14.441, 2610.361); (15.240, 2550.987); (169.981, 2073.382); (201.701, 2064.610); (208.988, 2063.854); (225.946, 2063.677); (568.540, 2063.545); (959.430, 2063.783); (978.990, 2064.768)"
5,"(2176.756, 3087.644); (2667.197, 3087.858); (2757.870, 3092.832); (2773.800, 3093.731); (2784.143, 3102.983); (2788.891, 3114.626); (2789.802, 3129.530); (2791.092, 3206.294); (2791.897, 3296.221); (2791.278, 3431.376); (2789.586, 3620.317); (2785.135, 3731.903); (2781.494, 3741.045); (2507.364, 4087.367); (2448.308, 4086.573); (2116.078, 4082.102); (2097.666, 4081.854); (2066.791, 4081.438); (2059.490, 4081.340); (2057.193, 4081.309); (2057.232, 4078.400); (2058.302, 3998.882); (2062.149, 3712.977); (2065.668, 3451.520); (2066.575, 3384.129); (2067.174, 3339.583); (2067.290, 3331.022); (2067.312, 3329.327); (2101.225, 3133.727); (2109.441, 3091.010); (2115.833, 3087.941)"
6,"(6679.538, 2359.424); (6665.447, 2353.517); (6668.047, 2345.759); (6684.858, 2321.137); (6690.505, 2314.446); (6699.476, 2314.777); (6702.275, 2316.645); (6703.502, 2323.825); (6685.515, 2354.220)"
7,"(6159.464, 1843.506); (6152.852, 1803.665); (6195.198, 1795.711); (6202.934, 1795.538); (6223.733, 1798.158); (6226.040, 1803.365); (6226.824, 1807.825); (6223.943, 1841.037); (6221.971, 1842.802); (6216.427, 1846.579); (6213.283, 1847.013); (6162.257, 1844.428)"
8,"(5342.287, 2615.432); (5322.359, 2597.870); (5321.627, 2595.161); (5320.751, 2590.917); (5322.517, 2583.950); (5325.761, 2575.825); (5336.600, 2566.786); (5393.205, 2564.097); (5397.762, 2569.765); (5392.975, 2594.584); (5380.890, 2612.186); (5356.390, 2615.186)"
9,"(3018.637, 3620.286); (3017.099, 3560.117); (3031.677, 3546.021); (3035.358, 3543.267); (3049.443, 3533.596); (3059.745, 3533.769); (3068.530, 3543.979); (3070.058, 3549.055); (3072.629, 3586.265); (3073.064, 3616.978); (3066.959, 3634.549); (3056.255, 3638.833); (3023.972, 3624.197)"
10,"(803.357, 2036.138); (9.369, 1871.404); (9.586, 1855.245); (11.318, 1726.526); (12.207, 1660.479); (12.331, 1651.279); (12.369, 1648.461); (12.375, 1648.026); (12.381, 1647.582); (22.800, 1569.036); (95.434, 1065.944); (96.871, 1057.125); (98.009, 1052.700); (100.051, 1047.047); (103.555, 1041.431); (193.538, 1039.780); (485.793, 1039.525); (922.374, 1041.759); (1002.354, 1056.148); (1007.782, 1251.999); (1008.003, 1260.746); (1008.170, 1483.812); (1008.129, 1644.913); (1006.643, 2005.042); (1004.786, 2027.867); (987.500, 2036.495); (880.687, 2039.426); (833.467, 2039.180)"
